"Title","State","Senator","Street Address","ID","Created Date","Updated Date","Owner","State and Capital","Zip Code"
,"Texas","Ted Cruz (R)","127 Russell Senate Office Building","01332637-29ed-4d79-b566-f26b5a830497",2025-02-27T03:35:19Z,2025-02-27T03:35:19Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e","Washington, DC",20510
,"Maine","Angus King (I)","133 Hart Senate Office Building","03846891-baba-4e8e-a650-5616e134671c",2025-02-27T03:35:19Z,2025-02-27T03:35:19Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e","Washington, DC",20510
,"Iowa","Chuck Grassley (R)","135 Hart Senate Office Building","07eb1ba0-6d90-4fc5-bc8c-2ee8db0b79b0",2025-02-27T03:35:19Z,2025-02-27T03:35:19Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e","Washington, DC",20510
,"Kansas","Roger Marshall (R)","479 Russell Senate Office Building","0ef548df-c702-4755-8cea-115d49d843c3",2025-02-27T03:35:19Z,2025-02-27T03:35:19Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e","Washington, DC",20510
,"Nebraska","Deb Fischer (R)","454 Russell Senate Office Building","11992f90-da7f-4faa-bb1c-8aa04a42134e",2025-02-27T03:35:19Z,2025-02-27T03:35:19Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e","Washington, DC",20510
,"Delaware","Lisa Blunt Rochester (D)","503 Hart Senate Office Building","14dcb624-83cd-423c-a661-68f80986ceb0",2025-02-27T03:35:19Z,2025-02-27T03:35:19Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e","Washington, DC",20510
,"Arkansas","John Boozman (R)","141 Hart Senate Office Building","161fa832-5f42-43d9-ad39-47cf12de062a",2025-02-27T03:35:19Z,2025-02-27T03:35:19Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e","Washington, DC",20510
,"Oklahoma","Markwayne Mullin (R)","330 Hart Senate Office Building","16bf45a6-6a4d-45c6-a245-85a119d2d76f",2025-02-27T03:35:19Z,2025-02-27T03:35:19Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e","Washington, DC",20510
,"Massachusetts","Ed Markey (D)","255 Dirksen Senate Office Building","1b70a399-ecd8-4e7a-a11a-c58545f32fe0",2025-02-27T03:35:19Z,2025-02-27T03:35:19Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e","Washington, DC",20510
,"New Jersey","Cory Booker (D)","717 Hart Senate Office Building","1c5c23a2-72ff-43f1-82f3-c63aab2871ff",2025-02-27T03:35:19Z,2025-02-27T03:35:19Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e","Washington, DC",20510
,"Michigan","Elissa Slotkin (D)","445 Russell Senate Office Building","1e4d8614-a9a0-43da-bf93-70ea489d8752",2025-02-27T03:35:19Z,2025-02-27T03:35:19Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e","Washington, DC",20510
,"Florida","Ashley Moody (R)","716 Hart Senate Office Building","20842938-1035-45c2-bb2d-7da9d476cd8b",2025-02-27T03:35:19Z,2025-02-27T03:35:19Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e","Washington, DC",20510
,"Utah","Mike Lee (R)","363 Russell Senate Office Building","2785dcd9-45ed-4b9b-bfc7-2ccc72332464",2025-02-27T03:35:19Z,2025-02-27T03:35:19Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e","Washington, DC",20510
,"Arizona","Kyrsten Sinema (I)","317 Hart Senate Office Building","27ca3b73-16be-4dba-9bc8-f4ab76f65128",2025-02-27T03:35:19Z,2025-02-27T03:35:19Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e","Washington, DC",20510
,"Louisiana","John Neely Kennedy (R)","437 Russell Senate Office Building","2bd5c279-bbfa-4f6b-80f6-ca32cfe79941",2025-02-27T03:35:19Z,2025-02-27T03:35:19Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e","Washington, DC",20510
