STATE,CONGRESSIONAL DISTRICT,NAME,ADDRESS,CITY,STATE,ZIP CODE
Alabama,1st,Barry Moore (R),1511 Longworth House Office Building,Washington,DC,20515
Alabama,2nd,Shomari Figures (D),225 Cannon House Office Building,Washington,DC,20515
Alabama,3rd,Mike Rogers (R),2469 Rayburn House Office Building,Washington,DC,20515
Alabama,4th,Robert Aderholt (R),272 Rayburn House Office Building,Washington,DC,20515
Alabama,5th,Dale Strong (R),449 Cannon House Office Building,Washington,DC,20515
Alabama,6th,Gary Palmer (R),170 Cannon House Office Building,Washington,DC,20515
Alabama,7th,Terri Sewell (D),1035 Longworth House Office Building,Washington,DC,20515
Alaska,1st,Nick Begich (R),153 Cannon House Office Building,Washington,DC,20515
American Samoa,Delegate,Aumua Amata Coleman Radewagen (R),Rayburn House Office Building,Washington,DC,20515
Arizona,1st,David Schweikert (R),166 Cannon House Office Building,Washington,DC,20515
Arizona,2nd,Eli Crane (R),307 Cannon House Office Building,Washington,DC,20515
Arizona,3rd,Yassamin Ansari (D),1432 Longworth House Office Building,Washington,DC,20515
Arizona,4th,Greg Stanton (D),207 Cannon House Office Building,Washington,DC,20515
Arizona,5th,Andy Biggs (R),464 Cannon House Office Building,Washington,DC,20515
Arizona,6th,Juan Ciscomani (R),461 Cannon House Office Building,Washington,DC,20515
Arizona,7th,Vacant,Longworth House Office Building,Washington,DC,20515
Arizona,8th,Abraham Hamadeh,1722 Longworth House Office Building,Washington,DC,20515
Arizona,9th,Paul Gosar (R),2057 Rayburn House Office Building,Washington,DC,20515
Arkansas,1st,Eric Crawford (R),2422 Rayburn House Office Building,Washington,DC,20515
Arkansas,2nd,French Hill (R),1533 Longworth House Office Building,Washington,DC,20515
Arkansas,3rd,Steve Womack (R),2412 Rayburn House Office Building,Washington,DC,20515
Arkansas,4th,Bruce Westerman (R),202 Cannon House Office Building,Washington,DC,20515
California,1st,Doug LaMalfa (R),408 Cannon House Office Building,Washington,DC,20515
California,2nd,Jared Huffman (D),2330 Rayburn House Office Building,Washington,DC,20515
California,3rd,Kevin Kiley (R),2445 Rayburn House Office Building,Washington,DC,20515
California,4th,Mike Thompson (D),268 Cannon House Office Building,Washington,DC,20515
California,5th,Tom McClintock (R),2256 Rayburn House Office Building,Washington,DC,20515
California,6th,Ami Bera (D),172 Cannon House Office Building,Washington,DC,20515
California,7th,Doris Matsui (D),2206 Rayburn House Office Building,Washington,DC,20515
California,8th,John Garamendi (D),2428 Rayburn House Office Building,Washington,DC,20515
California,9th,Josh Harder (D),209 Cannon House Office Building,Washington,DC,20515
California,10th,Mark DeSaulnier (D),2134 Rayburn House Office Building,Washington,DC,20515
California,11th,Nancy Pelosi (D),1236 Longworth House Office Building,Washington,DC,20515
California,12th,Vacant,Longworth House Office Building,Washington,DC,20515
California,13th,Adam Gray,1230 Longworth House Office Building,Washington,DC,20515
California,14th,Eric Swalwell (D),174 Cannon House Office Building,Washington,DC,20515
California,15th,Kevin Mullin (D),1404 Longworth House Office Building ,Washington,DC,20515
California,16th,Sam Liccardo (D),1117 Longworth House Office Building,Washington,DC,20515
California,17th,Ro Khanna (D),306 Cannon House Office Building,Washington,DC,20515
California,18th,Zoe Lofgren (D),1401 Longworth House Office Building,Washington,DC,20515
California,19th,Jimmy Panetta (D),200 Cannon House Office Building,Washington,DC,20515
California,20th,Vince Fong (R),243 Cannon House Office Building,Washington,DC,20515
California,21st,Jim Costa (D),2081 Rayburn House Office Building,Washington,DC,20515
California,22nd,David Valadao (R),2465 Rayburn House Office Building,Washington,DC,20515
California,23rd,Jay Obernolte (R),2433 Rayburn House Office Building,Washington,DC,20515
California,24th,Salud Carbajal (D),2331 Rayburn House Office Building,Washington,DC,20515
California,25th,Raul Ruiz (D),2342 Rayburn House Office Building,Washington,DC,20515
California,26th,Julia Brownley (D),2262 Rayburn House Office Building,Washington,DC,20515
California,27th,George Whitesides (D),1504 Longworth House Office Building,Washington,DC,20515
California,28th,Judy Chu (D),2423 Rayburn House Office Building,Washington,DC,20515
California,29th,Luz Rivas,1319 Longworth House Office Building,Washington,DC,20515
California,30th,Laura Freidman (D),1517 Longworth House Office Building,Washington,DC,20515
California,31st,Gilbert Cisneros (D),2463 Rayburn House Office Building,Washington,DC,20515
California,32nd,Brad Sherman (D),2365 Rayburn House Office Building,Washington,DC,20515
California,33rd,Pete Aguilar (D),108 Cannon House Office Building,Washington,DC,20515
California,34th,Jimmy Gomez (D),506 Cannon House Office Building,Washington,DC,20515
California,35th,Norma Torres (D),2227 Rayburn House Office Building,Washington,DC,20515
California,36th,Ted Lieu (D),2454 Rayburn House Office Building,Washington,DC,20515
California,37th,Sydney Kamlager-Dove (D),144 Cannon House Office Building,Washington,DC,20515
California,38th,Linda Sánchez (D),2309 Rayburn House Office Building,Washington,DC,20515
California,39th,Mark Takano (D),2078 Rayburn House Office Building,Washington,DC,20515
California,40th,Young Kim (R),2439 Rayburn House Office Building,Washington,DC,20515
California,41st,Ken Calvert (R),2205 Rayburn House Office Building,Washington,DC,20515
California,42nd,Robert Garcia (D),109 Cannon House Office Building,Washington,DC,20515
California,43rd,Maxine Waters (D),2221 Rayburn House Office Building,Washington,DC,20515
California,44th,Nanette Barragán (D),2312 Rayburn House Office Building,Washington,DC,20515
California,45th,Derek Tran (D),1127 Longworth House Office Building,Washington,DC,20515
California,46th,Lou Correa (D),2082 Rayburn House Office Building,Washington,DC,20515
California,47th,Dave Min (D),1034 Longworth House Office Building,Washington,DC,20515
California,48th,Darrell Issa (R),2108 Rayburn House Office Building,Washington,DC,20515
California,49th,Mike Levin (D),2352 Rayburn House Office Building,Washington,DC,20515
California,50th,Scott Peters (D),2369 Rayburn House Office Building  ,Washington,DC,20515
California,51st,Sara Jacobs (D),2348 Rayburn House Office Building  ,Washington,DC,20515
California,52nd,Juan Vargas (D),2467 Rayburn House Office Building,Washington,DC,20515
Colorado,1st,Diana DeGette (D),2111 Rayburn House Office Building,Washington,DC,20515
Colorado,2nd,Joe Neguse (D),2400 Rayburn House Office Building,Washington,DC,20515
Colorado,3rd, Jeff Hurd (R),1641 Longworth House Office Building,Washington,DC,20515
Colorado,4th,Lauren Boebert (R),1713 Longworth House Office Building,Washington,DC,20515
Colorado,5th,Jeff Crank (R),1029 Longworth House Office Building,Washington,DC,20515
Colorado,6th,Jason Crow (D),1323 Longworth House Office Building,Washington,DC,20515
Colorado,7th,Brittany Pettersen (D),348 Cannon House Office Building,Washington,DC,20515
Colorado,8th,Gabe Evans (R),1229 Longworth House Office Building,Washington,DC,20515
Connecticut,1st,John Larson (D),1501 Longworth House Office Building,Washington,DC,20515
Connecticut,2nd,Joe Courtney (D),2449 Rayburn House Office Building,Washington,DC,20515
Connecticut,3rd,Rosa DeLauro (D),2413 Rayburn House Office Building,Washington,DC,20515
Connecticut,4th,Jim Himes (D),2137 Rayburn House Office Building,Washington,DC,20515
Connecticut,5th,Jahana Hayes (D),2049 Rayburn House Office Building,Washington,DC,20515
Delaware,1st,Sarah McBride (D),1306 Longworth House Office Building,Washington,DC,20515
District of Columbia,Delegate,Eleanor Holmes Norton (D),2136 Rayburn House Office Building,Washington,DC,20515
Florida,1st,Jimmy Patronis (R),2021 Rayburn House Office Building,Washington,DC,20515
Florida,2nd,Neal Dunn (R),466 Cannon House Office Building,Washington,DC,20515
Florida,3rd,Kat Cammack (R),2421 Rayburn House Office Building,Washington,DC,20515
Florida,4th,Aaron Bean (R),2459 Rayburn House Office Building,Washington,DC,20515
Florida,5th,John Rutherford (R),1711 Longworth House Office Building,Washington,DC,20515
Florida,6th,Randy Fine (R),244 Cannon House Office Building,Washington,DC,20515
Florida,7th,Cory Mills (R),246 Cannon House Office Building,Washington,DC,20515
Florida,8th,Mark Haridopolis,1039 Longworth House Office Building,Washington,DC,20515
Florida,9th,Darren Soto (D),2353 Rayburn House Office Building,Washington,DC,20515
Florida,10th,Maxwell Frost (D),1224 Longworth House Office Building,Washington,DC,20515
Florida,11th,Daniel Webster (R),2184 Rayburn House Office Building,Washington,DC,20515
Florida,12th,Gus Bilirakis (R),2306 Rayburn House Office Building,Washington,DC,20515
Florida,13th,Anna Paulina Luna (R),226 Cannon House Office Building,Washington,DC,20515
Florida,14th,Kathy Castor (D),2188 Rayburn House Office Building,Washington,DC,20515
Florida,15th,Laurel Lee (R),2464 Rayburn House Office Building,Washington,DC,20515
Florida,16th,Vern Buchanan (R),2409 Rayburn House Office Building,Washington,DC,20515
Florida,17th,Greg Steube (R),2457 Rayburn House Office Building,Washington,DC,20515
Florida,18th,Scott Franklin (R),2301 Rayburn House Office Building,Washington,DC,20515
Florida,19th,Byron Donalds (R),1710 Longworth House Office Building,Washington,DC,20515
Florida,20th,Sheila Cherfilus-McCormick (D),2442 Rayburn House Office Building,Washington,DC,20515
Florida,21st,Brian Mast (R),2182 Rayburn House Office Building,Washington,DC,20515
Florida,22nd,Lois Frankel (D),2305 Rayburn House Office Building,Washington,DC,20515
Florida,23rd,Jared Moskowitz (D),242 Cannon House Office Building,Washington,DC,20515
